Statistical profiling result from isolate-0x38c31a0-3528-v8.log, (19686 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     58    0.9%    0.3%  v8::internal::Builtin_HandleApiCall(int, unsigned long*, v8::internal::Isolate*)
     56    0.9%    0.3%  v8::Value::IsObject() const
     50    0.8%    0.3%  v8::ArrayBufferView::Buffer()
     46    0.8%    0.2%  node::Environment::GetFromCallbackData(v8::Local<v8::Value>)
     44    0.7%    0.2%  node::Utf8Value::Utf8Value(v8::Isolate*, v8::Local<v8::Value>)
     44    0.7%    0.2%  node::BaseObject::FromJSObject(v8::Local<v8::Object>)
     43    0.7%    0.2%  node::StringBytes::InlineDecoder::Decode(node::Environment*, v8::Local<v8::String>, v8::Local<v8::Value>, node::encoding)
     43    0.7%    0.2%  __write
     40    0.7%    0.2%  v8::Value::ToString(v8::Local<v8::Context>) const
     39    0.6%    0.2%  node::ParseEncoding(v8::Isolate*, v8::Local<v8::Value>, node::encoding)
     30    0.5%    0.2%  v8::Object::InternalFieldCount()
     29    0.5%    0.1%  v8::ArrayBufferView::ByteLength()
     28    0.5%    0.1%  node::StringBytes::Write(v8::Isolate*, char*, unsigned long, v8::Local<v8::Value>, node::encoding, int*)
     27    0.4%    0.1%  node::Buffer::HasInstance(v8::Local<v8::Value>)
     26    0.4%    0.1%  v8::ArrayBufferView::ByteOffset()
     22    0.4%    0.1%  v8::Value::IntegerValue(v8::Local<v8::Context>) const
     21    0.3%    0.1%  __GI___pthread_once
     19    0.3%    0.1%  __libc_realloc
     18    0.3%    0.1%  node::crypto::RandomBytesJob::~RandomBytesJob()
     18    0.3%    0.1%  node::Buffer::Data(v8::Local<v8::Value>)
     14    0.2%    0.1%  v8::String::Length() const
      9    0.1%    0.0%  v8::Uint32::Value() const
      9    0.1%    0.0%  node::Environment::PrintSyncTrace() const
      9    0.1%    0.0%  node::Buffer::Length(v8::Local<v8::Value>)
      6    0.1%    0.0%  operator new(unsigned long)
      5    0.1%    0.0%  pthread_self
      4    0.1%    0.0%  v8::Value::IsUint32() const
      4    0.1%    0.0%  operator delete(void*)
      4    0.1%    0.0%  node::inspector::(anonymous namespace)::InspectorConsoleCall(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  node::StringBytes::IsValidString(v8::Local<v8::String>, node::encoding)
      1    0.0%    0.0%  v8::internal::Zone::New(unsigned long)
      1    0.0%    0.0%  v8::internal::Builtin_JsonParse(int, unsigned long*, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::AstValueFactory::GetString(unsigned int, bool, v8::internal::Vector<unsigned char const>)
      1    0.0%    0.0%  __pthread_cond_signal
      1    0.0%    0.0%  _IO_file_xsputn

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  13272   67.4%  /home/moniz/.nvm/versions/node/v12.11.1/bin/node
  11978   90.3%    LazyCompile: *startCPUComsumedProcess /mnt/d/work/play/jsp/src/instancely.js:21:33
  11978  100.0%      Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
  11978  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:854:37
  11978  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:954:37
  11978  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:790:33
    911    6.9%    v8::internal::Builtin_ArrayBufferConstructor(int, unsigned long*, v8::internal::Isolate*)
    911  100.0%      LazyCompile: *startCPUComsumedProcess /mnt/d/work/play/jsp/src/instancely.js:21:33
    911  100.0%        Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
    911  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:854:37
    911  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:954:37

    986    5.0%  /usr/lib/x86_64-linux-gnu/libc-2.31.so
    416   42.2%    v8::internal::Builtin_ArrayBufferConstructor(int, unsigned long*, v8::internal::Isolate*)
    415   99.8%      LazyCompile: *startCPUComsumedProcess /mnt/d/work/play/jsp/src/instancely.js:21:33
    415  100.0%        Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
    415  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:854:37
    415  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:954:37
